h,farm_id,weight
2016-1-2,Farm 92,6092
2016-1-2,Farm 93,14711
2016-1-2,Farm 94,13139
2016-1-2,Farm 95,16128
2016-1-2,Farm 96,13931
2016-1-2,Farm 97,9630
2016-1-2,Farm 98,13929
2016-1-2,Farm 99,8368
2016-1-2,Farm 100,11074
2016-1-2,Farm 101,7843
2016-1-2,Farm 102,2803
2016-1-2,Farm 103,6247
2016-1-2,Farm 104,14995
2016-1-2,Farm 105,6008
2016-1-2,Farm 106,10992
2016-1-2,Farm 107,14887
2016-1-2,Farm 108,5297
2016-1-2,Farm 109,2511
2016-1-2,Farm 110,12253
2016-1-2,Farm 111,14462
2016-1-2,Farm 112,11053
2016-1-2,Farm 113,17275
2016-1-2,Farm 114,2087
2016-1-2,Farm 115,17310
2016-1-2,Farm 116,7609
2016-1-2,Farm 117,2186
2016-1-3,Farm 18,7245
2016-1-3,Farm 19,7464
2016-1-3,Farm 20,12343
2016-1-3,Farm 21,4606
2016-1-3,Farm 22,5309
2016-1-3,Farm 23,10794
2016-1-3,Farm 25,8163
2016-1-3,Farm 26,11360
2016-1-3,Farm 27,2693
2016-1-3,Farm 28,8307
2016-1-3,Farm 30,17055
2016-1-3,Farm 31,4411
2016-1-3,Farm 32,4955
2016-1-3,Farm 33,10232
2016-1-3,Farm 34,15493
2016-1-3,Farm 35,9594
2016-1-3,Farm 37,17910
2016-1-3,Farm 38,8468
2016-1-3,Farm 39,12741
2016-1-3,Farm 40,6572
2016-1-3,Farm 41,8489
2016-1-3,Farm 42,2440
2016-1-3,Farm 43,3650
2016-1-3,Farm 45,5133
2016-1-3,Farm 46,17621
2016-1-3,Farm 47,6831
2016-1-3,Farm 48,11394
2016-1-3,Farm 50,12677
2016-1-3,Farm 51,14274
2016-1-3,Farm 52,11229
2016-1-3,Farm 53,4778
2016-1-3,Farm 54,13650
2016-1-3,Farm 55,17973
2016-1-3,Farm 57,16938
2016-1-3,Farm 58,17562
2016-1-3,Farm 59,13473
2016-1-3,Farm 60,2287
2016-1-3,Farm 61,14476
2016-1-3,Farm 62,9810
2016-1-3,Farm 63,12500
2016-1-3,Farm 64,6846
2016-1-3,Farm 65,5424
2016-1-3,Farm 67,6594
2016-1-3,Farm 68,8485
2016-1-3,Farm 69,11357
2016-1-3,Farm 70,6482
2016-1-3,Farm 71,13047
2016-1-3,Farm 72,16127
2016-1-3,Farm 73,3993
2016-1-3,Farm 74,11592
2016-1-3,Farm 75,17525
2016-1-3,Farm 76,16866
2016-1-3,Farm 77,6169
2016-1-3,Farm 78,6791
2016-1-3,Farm 80,6678
2016-1-3,Farm 81,5891
2016-1-3,Farm 82,8488
2016-1-3,Farm 83,17142
2016-1-3,Farm 84,7986
2016-1-3,Farm 85,17845
2016-1-3,Farm 86,3468
2016-1-3,Farm 89,8773
2016-1-3,Farm 90,10972
2016-1-3,Farm 91,8920
2016-1-3,Farm 92,11521
2016-1-3,Farm 93,4355
2016-1-3,Farm 94,7386
2016-1-3,Farm 97,16030
2016-1-3,Farm 98,17579
2016-1-3,Farm 99,7379
2016-1-3,Farm 100,5397
2016-1-3,Farm 101,12906
2016-1-3,Farm 102,12998
2016-1-3,Farm 103,3902
2016-1-3,Farm 104,5056
2016-1-3,Farm 106,17320
2016-1-3,Farm 107,14228
2016-1-3,Farm 109,13721
2016-1-3,Farm 110,9000
2016-1-3,Farm 111,8108
2016-1-3,Farm 112,7376
2016-1-3,Farm 115,15497
2016-1-3,Farm 116,6307
2016-1-3,Farm 117,6152
2016-1-4,Farm 18,9936
2016-1-4,Farm 19,15058
2016-1-4,Farm 20,2427
2016-1-4,Farm 21,5411
2016-1-4,Farm 22,15104
2016-1-4,Farm 23,11793
2016-1-4,Farm 24,16294
2016-1-4,Farm 25,14742
2016-1-4,Farm 26,4999
2016-1-4,Farm 27,10571
2016-1-4,Farm 28,4933
2016-1-4,Farm 29,11235
2016-1-4,Farm 30,6249
2016-1-4,Farm 31,5906
2016-1-4,Farm 32,9586
2016-1-4,Farm 33,14379
2016-1-4,Farm 34,11992
2016-1-4,Farm 35,6591
2016-1-4,Farm 36,17086
2016-1-4,Farm 37,11170
2016-1-4,Farm 38,13600
2016-1-4,Farm 39,4125
2016-1-4,Farm 40,15240
2016-1-4,Farm 41,5887
2016-1-4,Farm 42,15515
2016-1-4,Farm 43,12929
2016-1-4,Farm 44,17166
2016-1-4,Farm 45,5755
2016-1-4,Farm 46,9440
2016-1-4,Farm 47,11125
2016-1-4,Farm 48,3880
2016-1-4,Farm 49,15336
2016-1-4,Farm 50,16247
2016-1-4,Farm 51,5044
2016-1-4,Farm 52,8712
2016-1-4,Farm 53,13211
2016-1-4,Farm 54,10087
2016-1-4,Farm 55,17168
2016-1-4,Farm 56,4386
2016-1-4,Farm 57,7388
2016-1-4,Farm 58,3472
2016-1-4,Farm 59,16166
2016-1-4,Farm 60,2681
2016-1-4,Farm 61,3943
2016-1-4,Farm 62,17506
2016-1-4,Farm 63,5922
2016-1-4,Farm 64,3605
2016-1-4,Farm 65,11747
2016-1-4,Farm 66,4181
2016-1-4,Farm 67,3104
2016-1-4,Farm 68,11931
2016-1-4,Farm 69,2845
2016-1-4,Farm 70,14228
2016-1-4,Farm 71,7446
2016-1-4,Farm 72,3368
2016-1-4,Farm 73,11682
2016-1-4,Farm 74,4077
2016-1-4,Farm 75,12195
2016-1-4,Farm 76,13239
2016-1-4,Farm 77,9329
2016-1-4,Farm 78,9660
2016-1-4,Farm 79,8104
2016-1-4,Farm 80,14715
2016-1-4,Farm 81,14968
2016-1-4,Farm 82,6228
2016-1-4,Farm 83,8506
2016-1-4,Farm 84,6976
2016-1-4,Farm 85,6221
2016-1-4,Farm 86,3043
2016-1-4,Farm 87,10925
2016-1-4,Farm 88,4855
2016-1-4,Farm 89,12331
2016-1-4,Farm 90,15629
2016-1-4,Farm 91,5925
2016-1-4,Farm 92,12998
2016-1-4,Farm 93,13648
2016-1-4,Farm 94,10246
2016-1-4,Farm 95,14175
2016-1-4,Farm 96,4660
2016-1-4,Farm 97,5704
2016-1-4,Farm 98,15047
2016-1-4,Farm 99,6971
2016-1-4,Farm 100,15579
2016-1-4,Farm 101,2510
2016-1-4,Farm 102,11023
2016-1-4,Farm 103,15679
2016-1-4,Farm 104,4092
2016-1-4,Farm 105,15306
2016-1-4,Farm 106,6765
2016-1-4,Farm 107,9694
2016-1-4,Farm 108,13824
2016-1-4,Farm 109,3274
2016-1-4,Farm 110,10783
2016-1-4,Farm 111,3669
2016-1-4,Farm 112,16371
2016-1-4,Farm 113,17357
2016-1-4,Farm 114,10866
2016-1-4,Farm 115,6593
2016-1-4,Farm 116,15659
2016-1-4,Farm 117,2284
2016-1-5,Farm 18,15404
2016-1-5,Farm 19,17017
2016-1-5,Farm 20,7257
2016-1-5,Farm 21,6897
2016-1-5,Farm 22,12707
2016-1-5,Farm 23,4837
2016-1-5,Farm 25,11309
2016-1-5,Farm 26,15491
2016-1-5,Farm 27,6548
2016-1-5,Farm 28,15775
2016-1-5,Farm 30,9292
2016-1-5,Farm 31,6043
2016-1-5,Farm 32,14400
2016-1-5,Farm 33,10808
2016-1-5,Farm 34,9786
2016-1-5,Farm 35,2806
2016-1-5,Farm 37,5791
2016-1-5,Farm 38,15946
2016-1-5,Farm 39,9908
2016-1-5,Farm 40,13666
2016-1-5,Farm 41,3511
2016-1-5,Farm 42,15705
2016-1-5,Farm 43,14878
2016-1-5,Farm 45,6803
2016-1-5,Farm 46,8135
2016-1-5,Farm 47,9007
2016-1-5,Farm 48,2832
2016-1-5,Farm 50,7501
2016-1-5,Farm 51,3593
2016-1-5,Farm 52,3090
2016-1-5,Farm 53,16447
2016-1-5,Farm 54,7659
2016-1-5,Farm 55,14293
2016-1-5,Farm 57,13509
2016-1-5,Farm 58,5885
2016-1-5,Farm 59,10323
2016-1-5,Farm 60,15687
2016-1-5,Farm 61,5344
2016-1-5,Farm 62,17128
2016-1-5,Farm 63,15276
2016-1-5,Farm 64,14810
2016-1-5,Farm 65,3738
2016-1-5,Farm 67,6935
2016-1-5,Farm 68,8692
2016-1-5,Farm 69,11830
2016-1-5,Farm 70,16854
2016-1-5,Farm 71,12380
2016-1-5,Farm 72,8561
2016-1-5,Farm 73,8918
2016-1-5,Farm 74,4880
2016-1-5,Farm 75,4490
2016-1-5,Farm 76,4762
2016-1-5,Farm 77,16363
2016-1-5,Farm 78,16221
2016-1-5,Farm 80,17211
2016-1-5,Farm 81,7990
2016-1-5,Farm 82,13419
2016-1-5,Farm 83,10089
2016-1-5,Farm 84,11582
2016-1-5,Farm 85,15300
2016-1-5,Farm 86,15393
2016-1-5,Farm 89,2793
2016-1-5,Farm 90,15727
2016-1-5,Farm 91,6144
2016-1-5,Farm 92,9036
2016-1-5,Farm 93,3642
2016-1-5,Farm 94,3340
2016-1-5,Farm 97,2806
2016-1-5,Farm 98,14053
2016-1-5,Farm 99,15727
2016-1-5,Farm 100,14451
2016-1-5,Farm 101,4529
2016-1-5,Farm 102,12671
2016-1-5,Farm 103,15096
2016-1-5,Farm 104,10519
2016-1-5,Farm 106,5907
2016-1-5,Farm 107,16738
2016-1-5,Farm 109,4339
2016-1-5,Farm 110,16646
2016-1-5,Farm 111,14917
2016-1-5,Farm 112,6749
2016-1-5,Farm 115,13180
2016-1-5,Farm 116,5278
2016-1-5,Farm 117,3513
2016-1-6,Farm 18,7639
2016-1-6,Farm 19,12159
2016-1-6,Farm 20,4113
2016-1-6,Farm 21,14705
2016-1-6,Farm 22,3286
2016-1-6,Farm 23,8307
2016-1-6,Farm 24,10562
2016-1-6,Farm 25,6434
2016-1-6,Farm 26,4231
2016-1-6,Farm 27,7583
2016-1-6,Farm 28,13453
2016-1-6,Farm 29,13044
2016-1-6,Farm 30,4317
2016-1-6,Farm 31,14212
2016-1-6,Farm 32,17019
2016-1-6,Farm 33,3326
2016-1-6,Farm 34,16810
2016-1-6,Farm 35,8349
2016-1-6,Farm 36,14553
2016-1-6,Farm 37,12874
2016-1-6,Farm 38,15672
2016-1-6,Farm 39,17548
2016-1-6,Farm 40,13847
2016-1-6,Farm 41,4970
2016-1-6,Farm 42,13111
2016-1-6,Farm 43,5415
2016-1-6,Farm 44,4708
2016-1-6,Farm 45,3149
2016-1-6,Farm 46,9638
2016-1-6,Farm 47,5801
2016-1-6,Farm 48,16269
2016-1-6,Farm 49,14140
2016-1-6,Farm 50,15585
2016-1-6,Farm 51,9194
2016-1-6,Farm 52,15521
2016-1-6,Farm 53,12163
2016-1-6,Farm 54,7152
2016-1-6,Farm 55,4833
2016-1-6,Farm 56,6187
2016-1-6,Farm 57,5689
2016-1-6,Farm 58,7349
2016-1-6,Farm 59,2056
2016-1-6,Farm 60,8465
2016-1-6,Farm 61,6214
2016-1-6,Farm 62,2738
2016-1-6,Farm 63,9236
2016-1-6,Farm 64,5832
2016-1-6,Farm 65,7522
2016-1-6,Farm 66,8878
2016-1-6,Farm 67,11315
2016-1-6,Farm 68,14753
2016-1-6,Farm 69,2802
2016-1-6,Farm 70,14668
2016-1-6,Farm 71,5126
2016-1-6,Farm 72,5118
2016-1-6,Farm 73,11883
2016-1-6,Farm 74,11021
2016-1-6,Farm 75,13069
2016-1-6,Farm 76,11415
2016-1-6,Farm 77,9611
2016-1-6,Farm 78,6886
2016-1-6,Farm 79,5412
2016-1-6,Farm 80,11201
2016-1-6,Farm 81,15703
2016-1-6,Farm 82,13869
2016-1-6,Farm 83,14542
2016-1-6,Farm 84,14815
2016-1-6,Farm 85,11958
2016-1-6,Farm 86,11885
2016-1-6,Farm 87,2682
2016-1-6,Farm 88,5215
2016-1-6,Farm 89,4541
2016-1-6,Farm 90,6449
2016-1-6,Farm 91,9552
2016-1-6,Farm 92,17095
2016-1-6,Farm 93,7622
2016-1-6,Farm 94,4906
2016-1-6,Farm 95,15390
2016-1-6,Farm 96,6267
2016-1-6,Farm 97,10689
2016-1-6,Farm 98,4268
2016-1-6,Farm 99,13575
2016-1-6,Farm 100,7573
2016-1-6,Farm 101,14835
2016-1-6,Farm 102,13850
2016-1-6,Farm 103,2197
2016-1-6,Farm 104,6699
2016-1-6,Farm 105,5115
2016-1-6,Farm 106,12837
2016-1-6,Farm 107,12362
2016-1-6,Farm 108,17081
2016-1-6,Farm 109,14330
2016-1-6,Farm 110,2311
2016-1-6,Farm 111,12513
2016-1-6,Farm 112,6863
2016-1-6,Farm 113,12793
2016-1-6,Farm 114,11254
2016-1-6,Farm 115,3520
2016-1-6,Farm 116,4040
2016-1-6,Farm 117,17208
2016-1-7,Farm 18,17570
2016-1-7,Farm 19,2988
2016-1-7,Farm 20,2726
2016-1-7,Farm 21,15984
2016-1-7,Farm 22,5014
2016-1-7,Farm 23,8452
2016-1-7,Farm 25,9017
2016-1-7,Farm 26,15205
2016-1-7,Farm 27,12630
2016-1-7,Farm 28,6932
2016-1-7,Farm 30,5022
2016-1-7,Farm 31,16883
2016-1-7,Farm 32,7292
2016-1-7,Farm 33,11525
2016-1-7,Farm 34,13444
2016-1-7,Farm 35,4910
2016-1-7,Farm 37,7957
2016-1-7,Farm 38,8293
2016-1-7,Farm 39,9617
2016-1-7,Farm 40,10655
2016-1-7,Farm 41,2225
2016-1-7,Farm 42,8994
2016-1-7,Farm 43,2235
2016-1-7,Farm 45,5332
2016-1-7,Farm 46,9590
2016-1-7,Farm 47,15481
2016-1-7,Farm 48,5017
2016-1-7,Farm 50,14124
2016-1-7,Farm 51,17527
2016-1-7,Farm 52,4693
2016-1-7,Farm 53,2320
2016-1-7,Farm 54,7119
2016-1-7,Farm 55,14530
2016-1-7,Farm 57,16277
2016-1-7,Farm 58,10422
2016-1-7,Farm 59,3701
2016-1-7,Farm 60,2315
2016-1-7,Farm 61,9232
2016-1-7,Farm 62,14771
2016-1-7,Farm 63,8898
2016-1-7,Farm 64,6238
2016-1-7,Farm 65,12039
2016-1-7,Farm 67,12202
2016-1-7,Farm 68,2685
2016-1-7,Farm 69,8754
2016-1-7,Farm 70,8604
2016-1-7,Farm 71,2745
2016-1-7,Farm 72,2055
2016-1-7,Farm 73,10773
2016-1-7,Farm 74,10086
2016-1-7,Farm 75,7222
2016-1-7,Farm 76,14239
2016-1-7,Farm 77,3507
2016-1-7,Farm 78,15440
2016-1-7,Farm 80,14749
2016-1-7,Farm 81,15247
2016-1-7,Farm 82,17010
2016-1-7,Farm 83,12631
2016-1-7,Farm 84,15402
2016-1-7,Farm 85,17310
2016-1-7,Farm 86,4228
2016-1-7,Farm 89,8054
2016-1-7,Farm 90,10955
2016-1-7,Farm 91,14564
2016-1-7,Farm 92,17414
2016-1-7,Farm 93,13646
2016-1-7,Farm 94,11447
2016-1-7,Farm 97,7944
2016-1-7,Farm 98,16996
2016-1-7,Farm 99,8977
2016-1-7,Farm 100,17233
2016-1-7,Farm 101,6952
2016-1-7,Farm 102,12702
2016-1-7,Farm 103,7140
2016-1-7,Farm 104,11982
2016-1-7,Farm 106,12420
2016-1-7,Farm 107,13698
2016-1-7,Farm 109,10495
2016-1-7,Farm 110,3038
2016-1-7,Farm 111,9707
2016-1-7,Farm 112,4999
2016-1-7,Farm 115,10109
2016-1-7,Farm 116,9273
2016-1-7,Farm 117,4800
2016-1-8,Farm 18,13347
2016-1-8,Farm 19,6111
2016-1-8,Farm 20,4624
2016-1-8,Farm 21,5254
2016-1-8,Farm 22,2102
2016-1-8,Farm 23,8140
2016-1-8,Farm 24,3822
2016-1-8,Farm 25,14978
2016-1-8,Farm 26,3663
2016-1-8,Farm 27,11583
2016-1-8,Farm 28,17032
2016-1-8,Farm 29,16025
2016-1-8,Farm 30,3021
2016-1-8,Farm 31,13518
2016-1-8,Farm 32,5106
2016-1-8,Farm 33,7860
2016-1-8,Farm 34,14136
2016-1-8,Farm 35,2441
2016-1-8,Farm 36,9057
2016-1-8,Farm 37,11004
2016-1-8,Farm 38,5779
2016-1-8,Farm 39,14852
2016-1-8,Farm 40,15351
2016-1-8,Farm 41,7901
2016-1-8,Farm 42,7103
2016-1-8,Farm 43,15664
2016-1-8,Farm 44,12436
2016-1-8,Farm 45,4080
2016-1-8,Farm 46,12743
2016-1-8,Farm 47,14777
2016-1-8,Farm 48,13378
2016-1-8,Farm 49,4580
2016-1-8,Farm 50,13295
2016-1-8,Farm 51,4724
2016-1-8,Farm 52,3170
2016-1-8,Farm 53,8017
2016-1-8,Farm 54,10925
2016-1-8,Farm 55,15689
2016-1-8,Farm 56,11910
2016-1-8,Farm 57,6777
2016-1-8,Farm 58,10530
2016-1-8,Farm 59,9619
2016-1-8,Farm 60,15025
2016-1-8,Farm 61,7141
2016-1-8,Farm 62,3885
2016-1-8,Farm 63,16962
2016-1-8,Farm 64,13023
2016-1-8,Farm 65,15607
2016-1-8,Farm 66,2165
2016-1-8,Farm 67,4537
2016-1-8,Farm 68,17836
2016-1-8,Farm 69,2616
2016-1-8,Farm 70,5019
2016-1-8,Farm 71,6390
2016-1-8,Farm 72,13356
2016-1-8,Farm 73,6637
2016-1-8,Farm 74,14953
2016-1-8,Farm 75,12088
2016-1-8,Farm 76,7452
2016-1-8,Farm 77,7506
2016-1-8,Farm 78,13627
2016-1-8,Farm 79,14242
2016-1-8,Farm 80,17275
2016-1-8,Farm 81,9982
2016-1-8,Farm 82,15996
2016-1-8,Farm 83,14646
2016-1-8,Farm 84,4582
2016-1-8,Farm 85,9381
2016-1-8,Farm 86,11647
2016-1-8,Farm 87,3437
2016-1-8,Farm 88,8729
2016-1-8,Farm 89,7945
2016-1-8,Farm 90,5446
2016-1-8,Farm 91,14776
2016-1-8,Farm 92,6279
2016-1-8,Farm 93,3014
2016-1-8,Farm 94,3171
2016-1-8,Farm 95,8985
2016-1-8,Farm 96,2712
2016-1-8,Farm 97,16440
2016-1-8,Farm 98,6911
2016-1-8,Farm 99,13115
2016-1-8,Farm 100,8093
2016-1-8,Farm 101,15721
2016-1-8,Farm 102,3934
2016-1-8,Farm 103,6889
2016-1-8,Farm 104,17723
2016-1-8,Farm 105,6436
2016-1-8,Farm 106,16175
2016-1-8,Farm 107,15471
2016-1-8,Farm 108,15783
2016-1-8,Farm 109,13899
2016-1-8,Farm 110,3416
2016-1-8,Farm 111,4657
2016-1-8,Farm 112,8715
2016-1-8,Farm 113,2452
2016-1-8,Farm 114,13376
2016-1-8,Farm 115,5923
2016-1-8,Farm 116,15658
2016-1-8,Farm 117,9818
2016-1-9,Farm 18,6255
2016-1-9,Farm 19,3889
2016-1-9,Farm 20,17735
2016-1-9,Farm 21,2879
2016-1-9,Farm 22,13486
2016-1-9,Farm 23,2513
2016-1-9,Farm 25,17791
2016-1-9,Farm 26,16920
2016-1-9,Farm 27,12786
2016-1-9,Farm 28,7050
2016-1-9,Farm 30,12447
2016-1-9,Farm 31,16608
2016-1-9,Farm 32,5801
2016-1-9,Farm 33,4139
2016-1-9,Farm 34,9886
2016-1-9,Farm 35,5498
2016-1-9,Farm 37,6428
2016-1-9,Farm 38,9244
2016-1-9,Farm 39,8784
2016-1-9,Farm 40,5945
2016-1-9,Farm 41,6236
2016-1-9,Farm 42,12481
2016-1-9,Farm 43,8150
2016-1-9,Farm 45,13212
2016-1-9,Farm 46,9230
2016-1-9,Farm 47,3680
2016-1-9,Farm 48,9569
2016-1-9,Farm 50,9461
2016-1-9,Farm 51,3860
2016-1-9,Farm 52,4216
2016-1-9,Farm 53,14239
2016-1-9,Farm 54,7811
2016-1-9,Farm 55,7466
2016-1-9,Farm 57,2155
2016-1-9,Farm 58,13601
2016-1-9,Farm 59,15921
2016-1-9,Farm 60,5685
2016-1-9,Farm 61,11617
2016-1-9,Farm 62,15248
2016-1-9,Farm 63,11079
2016-1-9,Farm 64,17948
2016-1-9,Farm 65,17718
2016-1-9,Farm 67,5532
2016-1-9,Farm 68,17409
2016-1-9,Farm 69,10115
2016-1-9,Farm 70,10379
2016-1-9,Farm 71,11132
2016-1-9,Farm 72,3564
2016-1-9,Farm 73,7125
2016-1-9,Farm 74,11874
2016-1-9,Farm 75,15271
2016-1-9,Farm 76,9270
2016-1-9,Farm 77,11613
2016-1-9,Farm 78,14954
2016-1-9,Farm 80,3290
2016-1-9,Farm 81,13264
2016-1-9,Farm 82,8152
2016-1-9,Farm 83,14224
2016-1-9,Farm 84,15471
2016-1-9,Farm 85,12023
2016-1-9,Farm 86,16960
2016-1-9,Farm 89,12862
2016-1-9,Farm 90,4655
2016-1-9,Farm 91,9295
2016-1-9,Farm 92,4456
2016-1-9,Farm 93,3986
2016-1-9,Farm 94,10446
2016-1-9,Farm 97,14407
2016-1-9,Farm 98,6308
2016-1-9,Farm 99,12541
2016-1-9,Farm 100,7932
2016-1-9,Farm 101,9079
2016-1-9,Farm 102,13727
2016-1-9,Farm 103,17997
2016-1-9,Farm 104,17077
2016-1-9,Farm 106,10237
2016-1-9,Farm 107,4325
2016-1-9,Farm 109,7190
2016-1-9,Farm 110,9346
2016-1-9,Farm 111,9589
2016-1-9,Farm 112,8939
2016-1-9,Farm 115,5982
2016-1-9,Farm 116,4895
2016-1-9,Farm 117,3765
2016-1-10,Farm 18,10146
2016-1-10,Farm 19,12918
2016-1-10,Farm 20,5438
2016-1-10,Farm 21,15746
2016-1-10,Farm 22,12053
2016-1-10,Farm 23,17955
2016-1-10,Farm 24,11471
2016-1-10,Farm 25,11928
2016-1-10,Farm 26,17037
2016-1-10,Farm 27,11343
2016-1-10,Farm 28,2436
2016-1-10,Farm 29,7360
2016-1-10,Farm 30,17002
2016-1-10,Farm 31,3510
2016-1-10,Farm 32,15277
2016-1-10,Farm 33,17935
2016-1-10,Farm 34,17389
2016-1-10,Farm 35,16124
2016-1-10,Farm 36,11917
2016-1-10,Farm 37,11006
2016-1-10,Farm 38,17081
2016-1-10,Farm 39,12885
2016-1-10,Farm 40,12494
2016-1-10,Farm 41,15233
2016-1-10,Farm 42,2355
2016-1-10,Farm 43,12945
2016-1-10,Farm 44,5380
2016-1-10,Farm 45,4485
2016-1-10,Farm 46,13136
2016-1-10,Farm 47,13261
2016-1-10,Farm 48,7698
2016-1-10,Farm 49,13226
2016-1-10,Farm 50,14285
2016-1-10,Farm 51,3713
2016-1-10,Farm 52,4104
2016-1-10,Farm 53,12878
2016-1-10,Farm 54,15242
2016-1-10,Farm 55,7658
2016-1-10,Farm 56,14001
2016-1-10,Farm 57,17710
2016-1-10,Farm 58,2090
2016-1-10,Farm 59,14030
2016-1-10,Farm 60,12839
2016-1-10,Farm 61,17291
2016-1-10,Farm 62,9831
2016-1-10,Farm 63,3971
2016-1-10,Farm 64,11433
2016-1-10,Farm 65,3553
2016-1-10,Farm 66,7751
2016-1-10,Farm 67,11792
2016-1-10,Farm 68,5053
2016-1-10,Farm 69,15789
2016-1-10,Farm 70,13476
